Time (s) Run #2,Time (s) Run #3,Time (s) Run #4,Time (s) Run #5,Time (s) Run #6,Time (s) Run #8,Time (s) Run #9,Time (s) Run #10,Time (s) Run #11,Time (s) Run #12,Position (m) Run #2,Position (m) Run #3,Position (m) Run #4,Position (m) Run #5,Position (m) Run #6,Position (m) Run #8,Position (m) Run #9,Position (m) Run #10,Position (m) Run #11,Position (m) Run #12
-0.3800000000000001,-1.0000000000000002,-1.28,-0.8800000000000001,0.21999999999999997,-0.06000000000000005,-0.3800000000000001,0.07999999999999985,-0.3400000000000001,-0.040000000000000036,,,,,0.61,,,0.81,,
-0.3600000000000001,-0.9800000000000002,-1.26,-0.8600000000000001,0.24,-0.040000000000000036,-0.3600000000000001,0.09999999999999987,-0.32000000000000006,-0.020000000000000018,,,,,0.57,,,0.78,,
-0.3400000000000001,-0.9600000000000002,-1.24,-0.8400000000000001,0.26,-0.020000000000000018,-0.3400000000000001,0.11999999999999988,-0.30000000000000004,0.0,,,,,0.53,,,0.76,,0.89
-0.32000000000000006,-0.9400000000000002,-1.22,-0.8200000000000001,0.28,0.0,-0.32000000000000006,0.1399999999999999,-0.28,0.020000000000000018,,,,,0.49,0.89,,0.73,,0.87
-0.30000000000000004,-0.9200000000000002,-1.2,-0.8,0.30000000000000004,0.020000000000000018,-0.30000000000000004,0.15999999999999992,-0.26,0.040000000000000036,,,,,0.44,0.87,,0.7,,0.86
-0.28,-0.9000000000000001,-1.18,-0.78,0.32000000000000006,0.040000000000000036,-0.28,0.17999999999999994,-0.24,0.06000000000000005,,,,,0.4,0.84,,0.67,,0.85
-0.26,-0.8800000000000001,-1.16,-0.76,0.3400000000000001,0.06000000000000005,-0.26,0.19999999999999996,-0.21999999999999997,0.08000000000000007,,,,,0.35,0.82,,0.64,,0.83
-0.24,-0.8600000000000001,-1.14,-0.74,0.3600000000000001,0.08000000000000007,-0.24,0.21999999999999997,-0.19999999999999996,0.10000000000000009,,,,,0.31,0.8,,0.61,,0.82
-0.21999999999999997,-0.8400000000000001,-1.1199999999999999,-0.72,0.3800000000000001,0.10000000000000009,-0.21999999999999997,0.24,-0.17999999999999994,0.1200000000000001,,,,,0.26,0.77,,0.58,,0.81
-0.19999999999999996,-0.8200000000000001,-1.0999999999999999,-0.7,0.40000000000000013,0.1200000000000001,-0.19999999999999996,0.26,-0.15999999999999992,0.14000000000000012,,,,,0.21,0.74,,0.55,,0.79
-0.17999999999999994,-0.8,-1.0799999999999998,-0.6799999999999999,0.42000000000000015,0.14000000000000012,-0.17999999999999994,0.28,-0.1399999999999999,0.16000000000000014,,,,,0.16,0.71,,0.52,,0.78
-0.15999999999999992,-0.78,-1.0599999999999998,-0.6599999999999999,0.44000000000000017,0.16000000000000014,-0.15999999999999992,0.30000000000000004,-0.11999999999999988,0.18000000000000016,,,,,0.12,0.68,,0.49,,0.77
-0.14000000000000012,-0.7600000000000002,-1.04,-0.6400000000000001,0.45999999999999996,0.17999999999999994,-0.14000000000000012,0.31999999999999984,-0.10000000000000009,0.19999999999999996,,,,,0.06,0.64,,0.45,,0.75
-0.1200000000000001,-0.7400000000000002,-1.02,-0.6200000000000001,0.48,0.19999999999999996,-0.1200000000000001,0.33999999999999986,-0.08000000000000007,0.21999999999999997,,,,,0.0,0.61,,0.42,,0.74
-0.10000000000000009,-0.7200000000000002,-1.0,-0.6000000000000001,0.5,0.21999999999999997,-0.10000000000000009,0.3599999999999999,-0.06000000000000005,0.24,,,,,,0.57,,0.39,,0.72
-0.08000000000000007,-0.7000000000000002,-0.98,-0.5800000000000001,0.52,0.24,-0.08000000000000007,0.3799999999999999,-0.040000000000000036,0.26,,,,,,0.53,,0.35,,0.71
-0.06000000000000005,-0.6800000000000002,-0.96,-0.56,0.54,0.26,-0.06000000000000005,0.3999999999999999,-0.020000000000000018,0.28,,,,,,0.49,,0.32,,0.69
-0.040000000000000036,-0.6600000000000001,-0.94,-0.54,0.56,0.28,-0.040000000000000036,0.41999999999999993,0.0,0.30000000000000004,,,,,,0.45,,0.28,0.85,0.67
-0.020000000000000018,-0.6400000000000001,-0.9199999999999999,-0.52,0.5800000000000001,0.30000000000000004,-0.020000000000000018,0.43999999999999995,0.020000000000000018,0.32000000000000006,,,,,,0.41,,0.25,0.83,0.66
0.0,-0.6200000000000001,-0.8999999999999999,-0.5,0.6000000000000001,0.32000000000000006,0.0,0.45999999999999996,0.040000000000000036,0.3400000000000001,0.86,,,,,0.37,0.91,0.21,0.82,0.64
0.020000000000000018,-0.6000000000000001,-0.8799999999999999,-0.48,0.6200000000000001,0.3400000000000001,0.020000000000000018,0.48,0.06000000000000005,0.3600000000000001,0.83,,,,,0.32,0.9,0.17,0.8,0.62
0.040000000000000036,-0.5800000000000001,-0.8599999999999999,-0.45999999999999996,0.6400000000000001,0.3600000000000001,0.040000000000000036,0.5,0.08000000000000007,0.3800000000000001,0.8,,,,,0.28,0.88,0.14,0.78,0.61
0.06000000000000005,-0.56,-0.8399999999999999,-0.43999999999999995,0.6600000000000001,0.3800000000000001,0.06000000000000005,0.52,0.10000000000000009,0.40000000000000013,0.76,,,,,0.23,0.86,0.12,0.76,0.59
0.08000000000000007,-0.54,-0.8199999999999998,-0.41999999999999993,0.6800000000000002,0.40000000000000013,0.08000000000000007,0.54,0.1200000000000001,0.42000000000000015,0.72,,,,,0.19,0.83,0.11,0.75,0.57
0.10000000000000009,-0.52,-0.7999999999999998,-0.3999999999999999,0.7000000000000002,0.42000000000000015,0.10000000000000009,0.56,0.14000000000000012,0.44000000000000017,0.69,,,,,0.14,0.81,0.1,0.73,0.56
0.1200000000000001,-0.5,-0.7799999999999998,-0.3799999999999999,0.7200000000000002,0.44000000000000017,0.1200000000000001,0.5800000000000001,0.16000000000000014,0.4600000000000002,0.65,,,,,0.12,0.79,,0.71,0.54
0.14000000000000012,-0.48,-0.7599999999999998,-0.3599999999999999,0.7400000000000002,0.4600000000000002,0.14000000000000012,0.6000000000000001,0.18000000000000016,0.4800000000000002,0.6,,,,,0.06,0.76,,0.69,0.52
0.16000000000000014,-0.45999999999999996,-0.7399999999999998,-0.33999999999999986,0.7600000000000002,0.4800000000000002,0.16000000000000014,0.6200000000000001,0.20000000000000018,0.5000000000000002,0.56,,,,,0.0,0.73,,0.67,0.5
0.18000000000000016,-0.43999999999999995,-0.7199999999999998,-0.31999999999999984,0.7800000000000002,0.5000000000000002,0.18000000000000016,0.6400000000000001,0.2200000000000002,0.5200000000000002,0.51,,,,,,0.7,,0.65,0.49
0.20000000000000018,-0.41999999999999993,-0.6999999999999997,-0.2999999999999998,0.8000000000000003,0.5200000000000002,0.20000000000000018,0.6600000000000001,0.2400000000000002,0.5400000000000003,0.47,,,,,,0.67,,0.62,0.47
0.2200000000000002,-0.3999999999999999,-0.6799999999999997,-0.2799999999999998,0.8200000000000003,0.5400000000000003,0.2200000000000002,0.6800000000000002,0.26000000000000023,0.5600000000000003,0.42,,,,,,0.64,,0.59,0.45
0.23999999999999977,-0.38000000000000034,-0.6600000000000001,-0.26000000000000023,0.8399999999999999,0.5599999999999998,0.23999999999999977,0.6999999999999997,0.2799999999999998,0.5799999999999998,0.37,,,,,,0.61,,0.57,0.43
0.2599999999999998,-0.3600000000000003,-0.6400000000000001,-0.2400000000000002,0.8599999999999999,0.5799999999999998,0.2599999999999998,0.7199999999999998,0.2999999999999998,0.5999999999999999,0.31,,,,,,0.57,,0.54,0.42
0.2799999999999998,-0.3400000000000003,-0.6200000000000001,-0.2200000000000002,0.8799999999999999,0.5999999999999999,0.2799999999999998,0.7399999999999998,0.31999999999999984,0.6199999999999999,0.26,,,,,,0.54,,0.52,0.4
0.2999999999999998,-0.3200000000000003,-0.6000000000000001,-0.20000000000000018,0.8999999999999999,-0.7,0.2999999999999998,0.7599999999999998,0.33999999999999986,0.6399999999999999,0.21,,,,,,0.51,,0.49,0.38
0.31999999999999984,-0.30000000000000027,-0.5800000000000001,-0.18000000000000016,0.9199999999999999,-0.7,0.31999999999999984,0.7799999999999998,0.3599999999999999,0.6599999999999999,0.15,,,,,,0.47,,0.47,0.36
0.33999999999999986,-0.28000000000000025,-0.56,-0.16000000000000014,0.94,-0.7,0.33999999999999986,0.7999999999999998,0.3799999999999999,0.6799999999999999,0.12,,,,,,0.43,,0.44,0.34
0.3599999999999999,-0.26000000000000023,-0.54,-0.14000000000000012,0.96,-0.7,0.3599999999999999,0.8199999999999998,0.3999999999999999,0.7,0.06,,,,,,0.4,,0.42,0.33
0.3799999999999999,-0.2400000000000002,-0.52,-0.1200000000000001,0.98,-0.7,0.3799999999999999,0.8399999999999999,0.41999999999999993,0.72,0.0,,,,,,0.36,,0.39,0.31
0.3999999999999999,-0.2200000000000002,-0.5,-0.10000000000000009,1.0,-0.7,0.3999999999999999,0.8599999999999999,0.43999999999999995,0.74,,,,,,,0.32,,0.37,0.29
0.41999999999999993,-0.20000000000000018,-0.48,-0.08000000000000007,1.02,-0.7,0.41999999999999993,0.8799999999999999,0.45999999999999996,0.76,,,,,,,0.28,,0.34,0.27
0.43999999999999995,-0.18000000000000016,-0.45999999999999996,-0.06000000000000005,1.04,-0.7,0.43999999999999995,0.8999999999999999,0.48,0.78,,,,,,,0.24,,0.32,0.25
0.45999999999999996,-0.16000000000000014,-0.43999999999999995,-0.040000000000000036,1.06,-0.7,0.45999999999999996,0.9199999999999999,0.5,0.8,,,,,,,0.2,,0.29,0.23
0.48,-0.14000000000000012,-0.41999999999999993,-0.020000000000000018,1.08,-0.7,0.48,-0.56,0.52,0.8200000000000001,,,,,,,0.16,,0.26,0.21
0.5,-0.1200000000000001,-0.3999999999999999,0.0,1.1,-0.7,0.5,-0.56,0.54,0.8400000000000001,,,,0.88,,,0.12,,0.24,0.19
0.52,-0.10000000000000009,-0.3799999999999999,0.020000000000000018,1.12,-0.7,0.52,-0.56,0.56,0.8600000000000001,,,,0.85,,,0.105,,0.21,0.17
0.54,-0.08000000000000007,-0.3599999999999999,0.040000000000000036,1.1400000000000001,-0.7,0.54,-0.56,0.5800000000000001,0.8800000000000001,,,,0.82,,,0.09,,0.18,0.16
0.56,-0.06000000000000005,-0.33999999999999986,0.06000000000000005,1.1600000000000001,-0.7,0.56,-0.56,0.6000000000000001,0.9000000000000001,,,,0.8,,,,,0.15,0.14
0.5800000000000001,-0.040000000000000036,-0.31999999999999984,0.08000000000000007,1.1800000000000002,-0.7,0.5800000000000001,-0.56,0.6200000000000001,0.9200000000000002,,,,0.77,,,,,0.13,0.13
0.6000000000000001,-0.020000000000000018,-0.2999999999999998,0.10000000000000009,1.2000000000000002,-0.7,0.6000000000000001,-0.56,0.6400000000000001,0.9400000000000002,,,,0.73,,,,,0.12,0.13
0.6200000000000001,0.0,-0.2799999999999998,0.1200000000000001,1.2200000000000002,-0.7,0.6200000000000001,-0.56,0.6600000000000001,0.9600000000000002,,0.88,,0.7,,,,,0.12,0.125
0.6400000000000001,0.020000000000000018,-0.2599999999999998,0.14000000000000012,1.2400000000000002,-0.7,0.6400000000000001,-0.56,0.6800000000000002,0.9800000000000002,,0.85,,0.66,,,,,0.11499999999999999,0.12
0.6600000000000001,0.040000000000000036,-0.23999999999999977,0.16000000000000014,1.2600000000000002,-0.7,0.6600000000000001,-0.56,0.7000000000000002,1.0000000000000002,,0.82,,0.63,,,,,0.11,
0.6800000000000002,0.06000000000000005,-0.21999999999999975,0.18000000000000016,1.2800000000000002,-0.7,0.6800000000000002,-0.56,0.7200000000000002,1.0200000000000002,,0.79,,0.59,,,,,,
0.7000000000000002,0.08000000000000007,-0.19999999999999973,0.20000000000000018,1.3000000000000003,-0.7,0.7000000000000002,-0.56,0.7400000000000002,1.0400000000000003,,0.75,,0.55,,,,,,
0.7200000000000002,0.10000000000000009,-0.17999999999999972,0.2200000000000002,1.3200000000000003,-0.7,0.7200000000000002,-0.56,0.7600000000000002,1.0600000000000003,,0.72,,0.5,,,,,,
0.7399999999999998,0.11999999999999966,-0.16000000000000014,0.23999999999999977,1.3399999999999999,-0.7,0.7399999999999998,-0.56,0.7799999999999998,1.0799999999999998,,0.68,,0.46,,,,,,
