"Time (s) Run #2","Position (m) Run #2","Velocity (m/s) Run #2","Acceleration (m/s²) Run #2","Time (s) Run #3","Position (m) Run #3","Velocity (m/s) Run #3","Acceleration (m/s²) Run #3","Time (s) Run #4","Position (m) Run #4","Velocity (m/s) Run #4","Acceleration (m/s²) Run #4","Time (s) Run #5","Position (m) Run #5","Velocity (m/s) Run #5","Acceleration (m/s²) Run #5","Time (s) Run #6","Position (m) Run #6","Velocity (m/s) Run #6","Acceleration (m/s²) Run #6","Time (s) Run #8","Position (m) Run #8","Velocity (m/s) Run #8","Acceleration (m/s²) Run #8","Time (s) Run #9","Position (m) Run #9","Velocity (m/s) Run #9","Acceleration (m/s²) Run #9","Time (s) Run #10","Position (m) Run #10","Velocity (m/s) Run #10","Acceleration (m/s²) Run #10","Time (s) Run #11","Position (m) Run #11","Velocity (m/s) Run #11","Acceleration (m/s²) Run #11","Time (s) Run #12","Position (m) Run #12","Velocity (m/s) Run #12","Acceleration (m/s²) Run #12"
0.720,0.98,0.37,0.98,0.720,0.98,-0.01,-3.18,0.720,0.98,0.04,0.49,0.720,0.99,0.17,-2.27,0.720,0.99,0.01,-0.10,0.720,0.98,0.00,0.04,0.720,0.95,0.01,0.45,0.720,0.98,-0.20,-1.37,0.720,0.93,-0.05,-1.81,0.720,0.95,0.01,-0.08
0.740,0.99,0.35,-7.52,0.740,0.97,-0.08,-1.24,0.740,0.98,0.06,0.17,0.740,0.99,0.12,-2.37,0.740,0.99,0.02,-0.47,0.740,0.98,0.00,0.01,0.740,0.95,0.01,0.29,0.740,0.98,-0.14,0.96,0.740,0.92,-0.08,-0.58,0.740,0.95,0.00,-0.12
0.760,1.00,0.01,-11.84,0.760,0.97,-0.07,1.60,0.760,0.98,0.06,-0.41,0.760,0.99,0.07,-2.05,0.760,0.99,0.00,-0.86,0.760,0.98,0.00,0.00,0.760,0.95,0.02,0.23,0.760,0.98,-0.12,3.91,0.760,0.92,-0.06,0.64,0.760,0.95,1.97E-4,-0.11
0.780,0.99,-0.33,-7.74,0.780,0.97,-0.01,3.50,0.780,0.98,0.04,-0.75,0.780,0.99,0.04,-1.94,0.780,0.99,-0.04,-0.66,0.780,0.98,0.00,-0.01,0.780,0.95,0.02,0.30,0.780,0.98,-0.07,6.93,0.780,0.92,-0.03,0.89,0.780,0.95,0.00,-0.09
0.800,0.98,-0.36,0.74,0.800,0.97,0.11,2.51,0.800,0.98,0.02,-0.63,0.800,0.99,0.00,-1.66,0.800,0.98,-0.04,0.06,0.800,0.98,0.00,-0.04,0.800,0.95,0.02,0.44,0.800,0.98,0.20,7.30,0.800,0.92,-0.01,0.83,0.800,0.95,0.00,-0.07
0.820,0.97,-0.20,5.35,0.820,0.97,0.16,-0.69,0.820,0.98,0.01,-0.30,0.820,0.99,-0.04,-0.81,0.820,0.98,-0.03,0.55,0.820,0.98,0.00,-0.08,0.820,0.95,0.04,0.24,0.820,0.98,0.37,2.73,0.820,0.92,-0.02,0.98,0.820,0.95,0.00,-0.06
0.840,0.97,-0.03,5.68,0.840,0.99,0.06,-3.23,0.840,0.98,0.01,-0.08,0.840,0.99,-0.05,0.44,0.840,0.98,-0.01,0.48,0.840,0.98,2.04E-4,-0.09,0.840,0.95,0.05,-0.51,0.840,1.00,0.31,-3.04,0.840,0.92,0.02,1.24,0.840,0.95,-0.01,-0.04
0.860,0.97,-0.02,5.88,0.860,0.98,-0.05,-2.52,0.860,0.98,0.01,-0.01,0.860,0.99,-0.01,1.11,0.860,0.98,0.00,0.17,0.860,0.98,0.00,-0.05,0.860,0.95,0.02,-1.21,0.860,1.00,0.14,-3.74,0.860,0.92,0.05,0.89,0.860,0.95,-0.01,0.00
0.880,0.97,0.14,4.96,0.880,0.98,-0.07,-0.48,0.880,0.98,0.01,-8.67E-17,0.880,0.99,0.03,0.46,0.880,0.98,-0.01,-0.05,0.880,0.98,0.00,-0.02,0.880,0.95,-0.02,-0.83,0.880,1.00,0.06,-0.49,0.880,0.92,0.07,-0.33,0.880,0.94,-0.01,0.02
0.900,0.97,0.33,-0.21,0.900,0.98,-0.01,0.28,0.900,0.98,0.01,0.00,0.900,0.99,0.02,-0.34,0.900,0.98,-0.01,-0.15,0.900,0.98,0.00,-0.02,0.900,0.95,-0.03,0.63,0.900,1.00,0.17,2.17,0.900,0.92,0.04,-1.55,0.900,0.94,0.00,0.03
0.920,0.99,0.21,-7.48,0.920,0.98,-0.03,-0.03,0.920,0.98,0.01,-0.01,0.920,0.99,-0.02,-0.30,0.920,0.98,-0.01,-0.19,0.920,0.98,0.00,-0.03,0.920,0.95,0.01,2.45,0.920,1.00,0.23,1.26,0.920,0.93,-0.01,-2.04,0.920,0.94,0.00,0.02
0.940,0.99,-0.12,-8.39,0.940,0.98,-0.06,0.04,0.940,0.98,0.01,-0.08,0.940,0.99,0.00,-0.51,0.940,0.98,-0.02,-0.05,0.940,0.98,0.00,-0.01,0.940,0.95,0.07,3.50,0.940,1.01,0.24,-1.88,0.940,0.92,-0.06,-1.15,0.940,0.94,0.00,-0.02
0.960,0.97,-0.31,-2.08,0.960,0.98,-0.04,0.86,0.960,0.98,0.01,-0.17,0.960,0.99,0.01,-2.26,0.960,0.98,-0.02,0.25,0.960,0.98,0.00,2.32E-14,0.960,0.95,0.17,2.51,0.960,1.01,0.15,-4.02,0.960,0.92,-0.08,0.58,0.960,0.94,0.00,-0.05
0.980,0.97,-0.16,3.52,0.980,0.97,-0.01,0.93,0.980,0.98,6.14E-4,-0.20,0.980,0.99,-0.08,-4.13,0.980,0.98,-0.01,0.48,0.980,0.98,0.00,4.63E-14,0.980,0.95,0.23,-0.49,0.980,1.02,0.03,-4.08,0.980,0.92,-0.03,1.75,0.980,0.94,-0.01,-0.03
1.000,0.97,2.03E-4,3.82,1.000,0.97,0.02,-0.21,1.000,0.98,0.00,-0.29,1.000,0.99,-0.22,-3.24,1.000,0.98,0.01,0.48,1.000,0.98,0.00,2.32E-14,1.000,0.96,0.16,-3.28,1.000,1.02,-0.04,-2.20,1.000,0.92,0.03,1.30,1.000,0.94,-0.01,0.09
1.020,0.97,-8.24E-4,1.23,1.020,0.98,1.32E-4,-1.52,1.020,0.98,0.00,-0.55,1.020,0.98,-0.27,0.18,1.020,0.98,0.02,0.24,1.020,0.98,0.00,0.00,1.020,0.96,0.03,-3.12,1.020,1.01,-0.06,0.15,1.020,0.92,0.05,-0.36,1.020,0.94,0.00,0.18
1.040,0.97,-0.01,-0.05,1.040,0.98,-0.07,-1.79,1.040,0.98,-0.02,-0.76,1.040,0.98,-0.19,3.00,1.040,0.98,0.02,-0.09,1.040,0.98,0.00,0.01,1.040,0.96,-0.03,-0.40,1.040,1.01,-0.03,1.70,1.040,0.92,0.00,-1.41,1.040,0.94,0.00,0.11
1.060,0.97,-0.01,0.31,1.060,0.97,-0.10,-0.60,1.060,0.98,-0.05,-0.50,1.060,0.97,-0.09,3.91,1.060,0.98,0.01,-0.34,1.060,0.98,0.00,0.03,1.060,0.96,0.03,2.05,1.060,1.01,0.03,1.83,1.060,0.92,-0.04,-1.01,1.060,0.94,0.00,-0.03
1.080,0.97,-1.42E-4,2.27,1.080,0.97,-0.09,0.96,1.080,0.98,-0.05,0.20,1.080,0.97,-0.04,4.72,1.080,0.98,0.00,-0.42,1.080,0.98,0.00,0.01,1.080,0.96,0.10,2.47,1.080,1.01,0.07,0.63,1.080,0.92,-0.05,0.39,1.080,0.94,0.00,-0.06
1.100,0.97,0.03,5.51,1.100,0.97,-0.04,1.55,1.100,0.98,-0.03,0.70,1.100,0.97,0.05,6.05,1.100,0.98,-0.01,-0.32,1.100,0.98,0.00,-0.04,1.100,0.96,0.15,1.20,1.100,1.02,0.06,-0.80,1.100,0.92,-0.02,1.79,1.100,0.94,0.00,0.06
1.120,0.97,0.23,6.87,1.120,0.97,-0.01,1.11,1.120,0.98,-0.01,0.67,1.120,0.97,0.24,4.66,1.120,0.98,-0.01,-0.17,1.120,0.98,0.00,-0.08,1.120,0.97,0.16,-0.59,1.120,1.02,0.02,-1.20,1.120,0.92,0.03,2.43,1.120,0.94,0.00,0.16
1.140,0.98,0.43,3.45,1.140,0.97,0.00,0.28,1.140,0.98,0.00,0.33,1.140,0.98,0.36,-1.31,1.140,0.98,-0.01,0.00,1.140,0.98,-0.01,-0.04,1.140,0.97,0.12,-2.18,1.140,1.02,-0.01,-1.16,1.140,0.92,0.09,1.58,1.140,0.94,0.01,0.12
1.160,1.00,0.43,-2.92,1.160,0.97,0.00,-0.18,1.160,0.98,0.00,0.03,1.160,0.99,0.21,-7.49,1.160,0.98,-0.01,0.09,1.160,0.98,-0.01,0.02,1.160,0.97,0.06,-2.95,1.160,1.02,0.00,-1.80,1.160,0.92,0.13,-0.61,1.160,0.94,0.01,0.02
1.180,1.00,0.24,-6.32,1.180,0.97,-0.02,-0.15,1.180,0.98,0.00,-0.10,1.180,1.00,-0.08,-6.83,1.180,0.98,-0.01,0.66,1.180,0.98,0.00,0.06,1.180,0.97,-0.01,-2.57,1.180,1.02,-0.06,-2.61,1.180,0.93,0.07,-2.27,1.180,0.94,0.01,0.03
1.200,1.00,0.06,-5.12,1.200,0.97,-0.01,0.19,1.200,0.98,-0.01,-0.08,1.200,0.98,-0.22,0.39,1.200,0.98,-0.01,1.39,1.200,0.98,0.00,0.08,1.200,0.97,-0.06,-1.37,1.200,1.02,-0.15,-1.89,1.200,0.93,-0.02,-1.95,1.200,0.94,0.01,0.08
1.220,1.00,0.04,-2.39,1.220,0.97,-0.01,0.74,1.220,0.98,-0.01,0.13,1.220,0.98,-0.03,5.88,1.220,0.98,0.06,2.61,1.220,0.98,0.00,0.06,1.220,0.97,-0.07,0.07,1.220,1.01,-0.18,0.65,1.220,0.93,-0.03,-0.35,1.220,0.94,0.01,0.05
1.240,1.00,0.02,-1.44,1.240,0.97,0.01,1.14,1.240,0.98,0.00,0.41,1.240,0.98,0.20,4.07,1.240,0.98,0.09,3.97,1.240,0.98,2.03E-4,-0.01,1.240,0.97,-0.05,1.00,1.240,1.01,-0.11,2.80,1.240,0.92,0.00,0.63,1.240,0.95,0.01,-0.04
1.260,1.00,-0.01,-2.68,1.260,0.97,0.05,0.95,1.260,0.98,0.01,0.56,1.260,0.99,0.20,-2.51,1.260,0.99,0.21,3.21,1.260,0.98,-8.23E-4,-0.12,1.260,0.97,-0.01,0.96,1.260,1.01,-0.02,3.11,1.260,0.93,0.01,0.29,1.260,0.95,0.01,-0.09
1.280,1.00,-0.07,-4.39,1.280,0.97,0.07,0.05,1.280,0.98,0.02,0.52,1.280,0.99,0.04,-6.45,1.280,0.98,0.32,-1.34,1.280,0.98,0.00,-0.22,1.280,0.97,0.00,0.17,1.280,1.01,0.03,2.43,1.280,0.93,0.01,-0.59,1.280,0.95,0.01,-0.06
1.300,1.00,-0.19,-4.95,1.300,0.97,0.05,-0.90,1.300,0.98,0.03,0.39,1.300,0.99,-0.16,-4.02,1.300,1.01,0.22,-8.87,1.300,0.98,-0.01,-0.20,1.300,0.97,-0.01,-0.61,1.300,1.01,0.05,0.70,1.300,0.93,-0.01,-1.36,1.300,0.95,0.01,-0.05
1.320,1.00,-0.32,-2.96,1.320,0.97,0.01,-1.27,1.320,0.98,0.04,0.17,1.320,0.99,-0.20,2.12,1.320,1.01,-0.08,-13.43,1.320,0.98,-0.02,-0.04,1.320,0.97,-0.03,-0.74,1.320,1.01,0.10,-1.18,1.320,0.93,-0.05,-1.48,1.320,0.95,0.00,-0.07
1.340,0.99,-0.35,0.93,1.340,0.97,-0.01,-1.18,1.340,0.98,0.04,-0.12,1.340,0.98,-0.04,5.92,1.340,1.00,-0.46,-12.57,1.340,0.98,-0.01,0.19,1.340,0.97,-0.05,-0.40,1.340,1.01,-0.01,-3.15,1.340,0.92,-0.09,-0.56,1.340,0.95,0.00,-0.49
1.360,0.98,-0.26,4.11,1.360,0.97,-0.03,-0.88,1.360,0.98,0.03,-0.38,1.360,0.98,0.17,3.22,1.360,0.98,-0.62,-9.17,1.360,0.97,-0.01,0.32,1.360,0.97,-0.05,0.08,1.360,1.01,-0.05,-5.75,1.360,0.92,-0.09,1.04,1.360,0.95,7.69E-4,-1.39
1.380,0.98,-0.13,4.72,1.380,0.97,-0.05,-0.33,1.380,0.98,0.02,-0.40,1.380,0.99,0.18,-2.90,1.380,0.97,-0.75,-6.85,1.380,0.97,0.00,0.26,1.380,0.97,-0.05,0.49,1.380,1.00,-0.17,-7.46,1.380,0.92,-0.04,2.11,1.380,0.95,-0.05,-0.03
1.400,0.98,-0.04,3.29,1.400,0.97,-0.05,0.59,1.400,0.98,0.01,-0.20,1.400,0.99,-0.03,-5.88,1.400,0.96,-0.89,-6.30,1.400,0.97,0.01,0.11,1.400,0.97,-0.03,0.71,1.400,1.01,-0.43,-7.38,1.400,0.92,0.02,1.83,1.400,0.95,-0.11,4.65
